 Papers,Title,Monkey,Epoch,Brain areas,Main epoch,Note main epoch,Sensitive neurons,Layers,Number of neurons (number of sessions),"Grand CP, random seeds","CP (zero signal), random seeds","Grand CP, frozen seeds","CP (zero signal), frozen seeds",CP-P/N ratio slope,CP-P/N ratio intercept,Recording technique,Description of the stimulus,Task parameter,Difficulty parameter,Stimulus size tailored to neurons' RF,Ratio of stimulus size to RF size ,Non task parameters of stimulus tailored to neurons,Task parameters of stimulus tailored to neurons,How neurons' preferences were estimated,Stimulus duration(ms),Time window for CP calc (ms),Stimulus type,Task type,Reaction Time (RT) Task,"Bias in Sensitivities (proportion of neurons with d'>0, + is for Target 1) ",Perceptual learning exposure duration before data collection,Perceptual learning exposure duration during data collection,Lapse rate,Psych. kernel alignment with the task,Neurometric threshold,Psychometric threshold,N/P ratio,Neurometric threshold method,Choice made by,Predictibility of choice targets,Location of stimulus (deg visual angle),Symmetry of task sensitivity of neurons,Location of target 1(deg visual angle),Location of target 2(deg visual angle),CP-sensitivity: variable for sensitivity,CP-sensitivity: how measured,CP-sensitivity: result (pvalue),,,
,, monkey 2 (PF),1(all neurons),V2,1,,,,101,0.506(SEM = 0.004),0.509(SEM = 0.004),0.515(SEM = 0.007),,0.021 (-0.15; 0.19),0.51 (0.48; 0.53),single electrode,Synthetic texture,Strength of higher-order texture statistics,Strength of higher-order texture statistics,2 (population of neurons),~4,3 (not tailored),3 (not tailored),from task data,500,500,1 (not bi-stable),1 (fine discrimination),No,,8,10,4.7%,,,,12.5,Neuron-Anti-neuron*sqrt(2),Saccades,Fixed for the whole period,4.8,,"(-3.5,0)","(3.5,0)",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Britten et al. (1996),A relationship between behavioral choice and the visual responses of neurons in macaque MT, E,1(all neurons),MT,1,,,,97,0.565(p < 0.001),,,,,,single electrode,random dots,direction of movement,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,1.21,Neuron-Anti-neuron,Saccades,varied session by session,,,based on neuron pref,based on neuron pref,threshold,Spearman correlation,,,,
,, K,1(all neurons),MT,1,,,,38,0.578(p < 0.001),,,,,,single electrode,random dots,direction of movement,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,Neuron-Anti-neuron,Saccades,varied session by session,,,based on neuron pref,based on neuron pref,threshold,Spearman correlation,,,,
,, W,1(all neurons),MT,1,,,,87,0.534(p < 0.001),,,,,,single electrode,random dots,direction of movement,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,1.51,Neuron-Anti-neuron,Saccades,varied session by session,,,based on neuron pref,based on neuron pref,threshold,Spearman correlation,,,,
,, J,1(all neurons),MT,1,,,,77,0.513(p = 0.03),,,,,,single electrode,random dots,direction of movement,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,0.89,Neuron-Anti-neuron,Saccades,varied session by session,,,based on neuron pref,based on neuron pref,threshold,Spearman correlation,,,,
,, E,2(subset neurons with frozen seeds),MT,2,different methods of CP,,,24,,0.570(p < 0.001),,0.544(p < 0.001),,,single electrode,random dots,direction of movement,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,Neuron-Anti-neuron,Saccades,varied session by session,,,based on neuron pref,based on neuron pref,threshold,Spearman correlation,,,,
,,W and J,2(subset neurons with frozen seeds),MT,0,,,,43,,,0.532(p < 0.001),,,,single electrode,random dots,direction of movement,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,Neuron-Anti-neuron,Saccades,varied session by session,,,based on neuron pref,based on neuron pref,threshold,Spearman correlation,-0.074 (p = 0.35),,,
,,E and J,3(subset neurons with non-matched task),MT,1,different task,,,45,0.522 (p < 0.001),,,,,,single electrode,random dots,direction of movement,coherence,1 (individual neuron RF),,1 (individual neuron),3 (not tailored),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,Neuron-Anti-neuron,Saccades,varied session by session,,,based on neuron pref,based on neuron pref,threshold,Spearman correlation,,,,
,,four combined,1(all neurons),MT,2,"different methods of CP, CP-d'",,,299,0.548(p< 0.001),0.555(p<0.001),,,,,single electrode,random dots,direction of movement,coherence,1 (individual neuron RF),,1 (individual neuron),3 (not tailored),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,Neuron-Anti-neuron,Saccades,varied session by session,,,based on neuron pref,based on neuron pref,threshold,Spearman correlation,-0.328(p < 0.0001),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cohen & Newsome (2009),Estimates of the Contribution of Single Neurons to Perception Depend on Timescale and Noise Correlation,T,1 (on axis),MT,1,,,,44,,0.5403(p<0.05),,0.5301(p<0.05),,,single electrode,random dots,direction of movement,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,674,674,1 (not bi-stable),2 (coarse discrimination),Yes,,,,,,48.327,18.1,2.67,,Saccades,varied session by session,,,based on neuron pref,based on neuron pref,threshold,,X(p = 0.39),,,
,,D,1 (on axis),MT,1,,,,30,,0.5377(p<0.05),,,,,single electrode,random dots,direction of movement,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,585,585,1 (not bi-stable),2 (coarse discrimination),Yes,,,,,,56.502,25.8,2.19,,Saccades,varied session by session,,,based on neuron pref,based on neuron pref,threshold,,X(p = 0.39),,,
,,two combined,2(of axis),MT,1,,,,78,,0.52594(p<0.05),,,,,single electrode,random dots,direction of movement,coherence,1 (individual neuron RF),,1 (individual neuron),3 (not tailored),from separate sessions,630,630,1 (not bi-stable),2 (coarse discrimination),Yes,,,,,,,,,,Saccades,predictable but varied trial by trial,,,flexible,flexible,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heuer & Britten (2004),Optic Flow Signals in Extrastriate Area MST: Comparison of Perceptual and Neuronal Sensitivity,F,,MST,1,,,,55,0.52,,,,,,single electrode,random dots in spiral space,spiral direction,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,1000,1000,1 (not bi-stable),2 (coarse discrimination),No,not applicable,,,<5%,,11.859,5.9,2.01,,Saccades,varied block by block,,,flexible,flexible,,,,,,
,,H,,MST,1,,,,35,0.501,,,,,,single electrode,random dots in spiral space,spiral direction,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,1000,1000,1 (not bi-stable),2 (coarse discrimination),No,not applicable,,,<5%,,16.095,14.5,1.11,,Saccades,varied block by block,,,flexible,flexible,,,,,,
,,two combined,,MST,4,CP-d',,,90,0.513(p>0.05),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,threshold,Spearman correlation,X(p > 0.05),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodd et al. (2001),,two combined,1(all neurons),MT,2,different methods of CP,,,93,0.643,0.67(p<0.001),,,,,single electrode,dot rotating cylinder,direction of rotation,depth disparity,1 (individual neuron RF),~1,1 (individual neuron),3 (not tailored),from separate sessions,2000,2000,2 (bi stable),2 (coarse discrimination),No,,,,3%,,,,,,Saccades,Fixed for the whole period,7.2,,"(..,0)","(..,0)",,,,,,
,, Bi,1(all neurons),MT,1,,,,40,,0.6768,,,,,single electrode,dot rotating cylinder,direction of rotation,depth disparity,1 (individual neuron RF),~1,1 (individual neuron),3 (not tailored),from separate sessions,2000,2000,2 (bi stable),2 (coarse discrimination),No,,,,3%,,,,,,Saccades,Fixed for the whole period,7.2,,"(..,0)","(..,0)",,,,,,
,, Mr,1(all neurons),MT,1,,,,53,,0.6614339623,,,,,single electrode,dot rotating cylinder,direction of rotation,depth disparity,1 (individual neuron RF),~1,1 (individual neuron),3 (not tailored),from separate sessions,2000,2000,2 (bi stable),2 (coarse discrimination),No,,,,3%,,,,,,Saccades,Fixed for the whole period,7.2,,"(..,0)","(..,0)",,,,,,
,, Bi,2(left motion preference),MT,0,,,,16,,0.648(SEM = 0.0305),,,,,single electrode,dot rotating cylinder,direction of rotation,depth disparity,1 (individual neuron RF),~1,1 (individual neuron),3 (not tailored),from separate sessions,2000,2000,2 (bi stable),2 (coarse discrimination),No,,,,3%,,,,,,Saccades,Fixed for the whole period,,,"(..,0)","(..,0)",,,,,,
,, Bi,3(right motion preference),MT,0,,,,24,,0.696(SEM = 0.02755675961),,,,,single electrode,dot rotating cylinder,direction of rotation,depth disparity,1 (individual neuron RF),~1,1 (individual neuron),3 (not tailored),from separate sessions,2000,2000,2 (bi stable),2 (coarse discrimination),No,,,,3%,,,,,,Saccades,Fixed for the whole period,,,"(..,0)","(..,0)",,,,,,
,, Mr,2(left motion preference),MT,0,,,,30,,0.684(SEM = 0.02300434742),,,,,single electrode,dot rotating cylinder,direction of rotation,depth disparity,1 (individual neuron RF),~1,1 (individual neuron),3 (not tailored),from separate sessions,2000,2000,2 (bi stable),2 (coarse discrimination),No,,,,3%,,,,,,Saccades,Fixed for the whole period,,,"(..,0)","(..,0)",,,,,,
,, Mr,3(right motion preference),MT,0,,,,23,,0.632(SEM = 0.03086013328),,,,,single electrode,dot rotating cylinder,direction of rotation,depth disparity,1 (individual neuron RF),~1,1 (individual neuron),3 (not tailored),from separate sessions,2000,2000,2 (bi stable),2 (coarse discrimination),No,,,,3%,,,,,,Saccades,Fixed for the whole period,,,"(..,0)","(..,0)",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krug et al. (2004),Comparing Perceptual Signals of Single V5/MT Neurons in Two Binocular Depth Tasks,two combined,1(all neurons),MT,1,no per monkey data,,,61,,0.67,,,,,single electrode,dot rotating cylinder,direction of rotation,depth disparity,1 (individual neuron RF),~1,1 (individual neuron),3 (not tailored),from separate sessions,2000,2000,2 (bi stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,Fixed for the whole period,,,"(..,0)","(..,0)",,,,,,
,, Fl,1(all neurons),MT,0,,,,,,,,,,,single electrode,dot rotating cylinder,direction of rotation,depth disparity,1 (individual neuron RF),~1,1 (individual neuron),3 (not tailored),from separate sessions,2000,2000,2 (bi stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,Fixed for the whole period,,,"(..,0)","(..,0)",,,,,,
,, Mr,1(all neurons),MT,0,,,,,,,,,,,single electrode,dot rotating cylinder,direction of rotation,depth disparity,1 (individual neuron RF),~1,1 (individual neuron),3 (not tailored),from separate sessions,2000,2000,2 (bi stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,Fixed for the whole period,,,"(..,0)","(..,0)",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krug et al. (2016),,two combined,1(prefered stimulus),MT,4,,,,93,,0.64(p<0.001),,,,,single electrode,dot rotating cylinder,direction of rotation,depth disparity,1 (individual neuron RF),~1,1 (individual neuron),3 (not tailored),from separate sessions,2000,2000,2 (bi stable),2 (coarse discrimination),No,,,,,,0.0219,0.0143,1.515517241,,Saccades,Fixed for the whole period,,,"(..,0)","(..,0)",threshold,Spearman correlation, -0.332(p < 0.01),,,
,,two combined,2(non-prefered stimulus),MT,4,,,,68,,0.62(p<0.001),,,,,single electrode,dot rotating cylinder,direction of rotation,depth disparity,1 (individual neuron RF),~1,4(opposite to preferences)),3 (not tailored),from separate sessions,2000,2000,2 (bi stable),2 (coarse discrimination),No,,,,,,0.0254,0.0143,1.762931034,,Saccades,Fixed for the whole period,,,"(..,0)","(..,0)",threshold,Spearman correlation,-0.456(p < 0.001),,,
,,F,"3(prefered stimulus, paired neurons)",MT,1,,,,43,,0.65(p<0.001),,,,,single electrode,dot rotating cylinder,direction of rotation,depth disparity,1 (individual neuron RF),~1,1 (individual neuron),3 (not tailored),from separate sessions,2000,2000,2 (bi stable),2 (coarse discrimination),No,,,,,,0.012,0.008,1.5,,Saccades,Fixed for the whole period,,,"(..,0)","(..,0)",,,,,,
,,F,"4(non-prefered stimulus, paired neurons)",MT,1,,,,43,,0.65(p<0.001),,,,,single electrode,dot rotating cylinder,direction of rotation,depth disparity,1 (individual neuron RF),~1,4(opposite to preferences)),3 (not tailored),from separate sessions,2000,2000,2 (bi stable),2 (coarse discrimination),No,,,,,,0.014,0.008,1.75,,Saccades,Fixed for the whole period,,,"(..,0)","(..,0)",,,,,,
,,R,"3(prefered stimulus, paired neurons)",MT,1,,,,18,,0.60(p<0.001),,,,,single electrode,dot rotating cylinder,direction of rotation,depth disparity,1 (individual neuron RF),~1,1 (individual neuron),3 (not tailored),from separate sessions,2000,2000,2 (bi stable),2 (coarse discrimination),No,,,,,,0.045,0.029,1.551724138,,Saccades,Fixed for the whole period,,,"(..,0)","(..,0)",,,,,,
,,R,"4(non-prefered stimulus, paired neurons)",MT,1,,,,18,,0.58(p<0.001),,,,,single electrode,dot rotating cylinder,direction of rotation,depth disparity,1 (individual neuron RF),~1,4(opposite to preferences)),3 (not tailored),from separate sessions,2000,2000,2 (bi stable),2 (coarse discrimination),No,,,,,,0.052,0.029,1.793103448,,Saccades,Fixed for the whole period,,,"(..,0)","(..,0)",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grunewald et al. (2002),Neural Correlates of Structure-from-Motion Perception in Macaque V1 and MT,two combined (L and O),1(all neurons),V1,1,,,,47,,0.48(p = 0.3),,,,,single electrode,dot rotating cylinder,direction of rotation,depth disparity,1 (individual neuron RF),,1 (individual neuron),3 (not tailored),from task data,1000,1000,2 (bi stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,Fixed for the whole period,,,"(..,0)","(..,0)",,,,,,
,,two combined (L and N),1(all neurons),MT,1,,,,85,,0.57(p < 0.05),,,,,single electrode,dot rotating cylinder,direction of rotation,depth disparity,1 (individual neuron RF),,1 (individual neuron),3 (not tailored),from task data,1000,1000,2 (bi stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,Fixed for the whole period,,,"(..,0)","(..,0)",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark & Bradley (2022),A neural correlate of perceptual segmentation in macaque middle temporal cortical area,N,1(all neurons),MT,1,,,,90,,0.54(0.53-0.56),,,,,single electrode,drifting plaids with texture,one vs two objects motion,texture contrast,1 (individual neuron RF),,3 (not tailored),3 (not tailored),from separate sessions,1500,1500,2 (bi stable),2 (coarse discrimination),No,,,,,,303.8,24.5 (SEM = 3.9),12.4 (SEM = 1.2),,Saccades,Fixed for the whole period,3-8,,"(0,5)","(0,-5)",threshold,Spearman correlation,-0.12 (p = 0.07),,,
,,S,1(all neurons),MT,1,,,,116,,0.55(0.54-0.57),,,,,single electrode,drifting plaids with texture,one vs two objects motion,texture contrast,1 (individual neuron RF),,3 (not tailored),3 (not tailored),from separate sessions,1500,1500,2 (bi stable),2 (coarse discrimination),No,,,,,,300.51,18.9(SEM = 1.9),15.9 (SEM = 1.8),,Saccades,Fixed for the whole period,3-8,,"(0,5)","(0,-5)",threshold,Spearman correlation,-0.18 (p < 0.001),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purushothaman & Bradley (2005),Neural population code for fine perceptual decisions in area MT,two combined,"1(test period, neurons with upward component)",MT,1,seems most apropriate to use test period.need to combine upward and downward,,,240,0.55(0.53-0.55),0.55(0.52-0.58),,,,,single electrode,100% coherence random dots,direction of movement,diriction difference from reference,1 (individual neuron RF),,1 (individual neuron),3 (not tailored),from separate sessions,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,44.2,1.7,26(SEM = 2.2),,Saccades,Fixed for the whole period,,,"(..,0)","(..,0)",sensitivity,Spearman correlation,0.042(p < 0.00001),Neural population code for fine perceptual decisio,,
,,two combined,"2(reference period, neurons with upward component)",MT,0,,,,240,0.52(0.51-0.53),,,,,,single electrode,100% coherence random dots,direction of movement,diriction difference from reference,1 (individual neuron RF),,1 (individual neuron),3 (not tailored),from separate sessions,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,44.2,1.7,26(SEM = 2.2),,Saccades,Fixed for the whole period,,,"(..,0)","(..,0)",sensitivity,Spearman correlation, 0.01(p < 0.02),,,
,,two combined,"3(test period, neurons with downward component)",MT,1,,,,41,0.51(p=0.38),,,,,,single electrode,100% coherence random dots,direction of movement,diriction difference from reference,1 (individual neuron RF),,1 (individual neuron),3 (not tailored),from separate sessions,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,,,,,Saccades,Fixed for the whole period,,,"(..,0)","(..,0)",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al. (2014),,D,"1(all neurons, CP based on difference)",MSTd,3,different NP ratio data,0,,,,0.531(p<0.001),,,,,single electrode,3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,600,600,1 (not bi-stable),1 (fine discrimination),No,,,,,,1.86,0.81,2.12,,Saccades,Fixed for the whole period,,,"(..,0)","(..,0)",,,,,,
,,M,"1(all neurons, CP based on difference)",MSTd,3,different NP ratio data,0,,,,0.535(p=0.003),,,,,single electrode,3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,600,600,1 (not bi-stable),1 (fine discrimination),No,,,,,,2.05,4.18,1.48,,Saccades,Fixed for the whole period,,,"(..,0)","(..,0)",,,,,,
,,D,"3(neurons N/P < 2, CP based on difference)",MSTd,1,because filtering only sensitive neurons is the most comparable with other studies,1,,59,,0.56(p < 0.001),,,,,single electrode,3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,600,600,1 (not bi-stable),1 (fine discrimination),No,,,,,,,,1.669,,Saccades,Fixed for the whole period,,,"(..,0)","(..,0)",,,,,,
,,M,"3(neurons N/P < 2, CP based on difference)",MSTd,1,because filtering only sensitive neurons is the most comparable with other studies,1,,28,,0.526(p=0.14),,,,,single electrode,3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,600,600,1 (not bi-stable),1 (fine discrimination),No,,,,,,,,1.189,,Saccades,Fixed for the whole period,,,"(..,0)","(..,0)",,,,,,
,,two combined,"2(all neurons, CP based on test stimulus)",MSTd,0,,,,163,,0.524(SEM = 0.009),,,,,single electrode,3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,600,600,1 (not bi-stable),1 (fine discrimination),No,0.488372093,,,,,,,1.89,,Saccades,Fixed for the whole period,,,"(..,0)","(..,0)",,,,,,
,,two combined,"1(all neurons, CP based on difference)",MSTd,0,,,,163,,0.532 (p=0.00001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,threshold,Spearman correlation,-0.2451(p = 0.0016),,,
,,two combined,"3(neurons N/P < 2, CP based on difference)",MSTd,4,CP-d',,,87,,0.549 (p=0.0000101),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,threshold,Spearman correlation,-0.272 (p = 0.011),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law & Gold (2008),"Neural correlates of perceptual learning in a sensory-motor, but not a sensory, cortical area",two combined,1(all neurons),MT,1,,,,26,,0.549(SEM = 0.018),,,,,single electrode,random dots,direction of movement,coherence,1 (individual neuron RF),~1,1 (individual neuron),1 (individual neuron),from separate sessions,740,740,1 (not bi-stable),2 (coarse discrimination),No,,>6,>1,<3%,,,,1,,Saccades,varied session by session,8.5,,flexible,flexible,threshold,Spearman correlation,-0.34(p = 0.04) ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uka & DeAngelis (2004),Contribution of Area MT to Stereoscopic Depth Perception: Choice-Related Response Modulations Reflect Task Strategy,1,1(all neurons),MT,1,,,,52,0.617(SEM=0.015),,,,0.0818 (0.012; 0.1517),0.531 (0.452; 0.609),single electrode,100% coherent moving dots stereogram,near/far disparity,coherence,1 (individual neuron RF),~1-1.25,1 (individual neuron),1 (individual neuron),from separate sessions,1500,1500,1 (not bi-stable),2 (coarse discrimination),No,,~3-6,~2-3,~0,,,,1.03490,Neuron-Anti-neuron,Saccades,Fixed for the whole period,6,,"(0, 5)","(0, -5)",threshold,Spearman correlation,-0.316(p=0.023),,,
,,2,1(all neurons),MT,1,,,,52, 0.555(SEM=0.014),,,,0.0075 (-0.0249; 0.0398),0.545 (0.495; 0.596),single electrode,100% coherent moving dots stereogram,near/far disparity,coherence,1 (individual neuron RF),~1-1.25,1 (individual neuron),1 (individual neuron),from separate sessions,1500,1500,1 (not bi-stable),2 (coarse discrimination),No,,~3-6,~2-3,~0,,,,0.925383,Neuron-Anti-neuron,Saccades,Fixed for the whole period,,,"(0, 5)","(0, -5)",threshold,Spearman correlation,-0.216(p=0.1244),,,
,,two combined,1(all neurons),MT,0,,,,104,,0.57 ,,,,,single electrode,100% coherent moving dots stereogram,near/far disparity,coherence,1 (individual neuron RF),~1-1.25,1 (individual neuron),1 (individual neuron),from separate sessions,1500,1500,1 (not bi-stable),2 (coarse discrimination),No,,~3-6,~2-3,~0,,,,,,Saccades,Fixed for the whole period,,,"(0, 5)","(0, -5)",threshold,Spearman correlation,-0.29 (p < 0.005),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uka & DeAngelis (2006),Linking Neural Representation to Function in Stereoscopic Depth Perception: Roles of the Middle Temporal Area in Coarse versus Fine Disparity Discrimination,1,1(all neurons),MT,1,,,,48,0.472(SEM=0.019),,,,0.0382 (-2e-04; 0.0767),0.434 (0.379; 0.488),single electrode,100% coherent moving dots stereogram,relative disparity,relative disparity,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,1500,1500,1 (not bi-stable),1 (fine discrimination),No,,,,,,,,1.44353,Neuron-Anti-neuron,Saccades,Fixed for the whole period,,,"(0, 5)","(0, -5)",threshold,Spearman correlation,-0.273(p=0.0604),,,
,,2,1(all neurons),MT,1,,,,50,0.575(SEM=0.023),,,,0.0276 (-0.0468; 0.102),0.556 (0.487; 0.625),single electrode,100% coherent moving dots stereogram,relative disparity,relative disparity,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,1500,1500,1 (not bi-stable),1 (fine discrimination),No,,,,,,,,2.12847,Neuron-Anti-neuron,Saccades,Fixed for the whole period,,,"(0, 5)","(0, -5)",threshold,Spearman correlation,-0.604(p=0),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gu et al.  (2007),A functional link between area MSTd and heading perception based on vestibular signals,A,"1(all neurons, vestibular stimulus)",MSTd,1,,,,126,,,0.557 (SEM = 0.006),,0.249(0.182;0.317),0.521(0.506;0.535),single electrode,moving platform,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,2000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,~0,,30.753,1.2,25.6275,Neuron-Anti-neuron,Saccades,Fixed for the whole period,no visual stimulus,,"(5, 0)","(-5, 0)",,,,,,
,,C,"1(all neurons, vestibular stimulus)",MSTd,1,,,,56,,,0.548 (SEM = 0.008),,0.057(-0.022;0.136),0.537(0.516;0.558),single electrode,moving platform,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,2000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,~0,,49.834,3.1,16.07548387,Neuron-Anti-neuron,Saccades,Fixed for the whole period,no visual stimulus,,"(5, 0)","(-5, 0)",,,,,,
,,two combined,"2(neurons prefering motion to left, vestibular stimulus)",MSTd,0,,,,,,,0.58 (p < 0.001),,,,single electrode,moving platform,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,2000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,~0,,,,,Neuron-Anti-neuron,Saccades,Fixed for the whole period,no visual stimulus,,"(5, 0)","(-5, 0)",,,,,,
,,two combined,"3(neurons prefering motion to right, vestibular stimulus)",MSTd,0,,,,,,,0.55 (p < 0.001),,,,single electrode,moving platform,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,2000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,~0,,,,,Neuron-Anti-neuron,Saccades,Fixed for the whole period,no visual stimulus,,"(5, 0)","(-5, 0)",,,,,,
,,two combined,"4(most-sensitive neurons, vestibular stimulus)",MSTd,0,,1,,10,,,0.64 (SEM = 0.02),,,,single electrode,moving platform,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,2000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,~0,,,,,Neuron-Anti-neuron,Saccades,Fixed for the whole period,no visual stimulus,,"(5, 0)","(-5, 0)",,,,,,
,,two combined,"4(least-sensitive neurons, vestibular stimulus)",MSTd,0,,0,,10,,,0.51 (p = 0.09),,,,single electrode,moving platform,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,2000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,~0,,,,,Neuron-Anti-neuron,Saccades,Fixed for the whole period,no visual stimulus,,"(5, 0)","(-5, 0)",,,,,,
,,two combined,"1(all neurons, vestibular stimulus)",MSTd,4,CP-d',,,182,,,0.55(p<0.001),,,,,,,,,,,,,,,,,,,,,,,,,,Neuron-Anti-neuron,,,,,,,threshold,Spearman correlation, -0.49(p < 0.001),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gu et al. (2008),Neural correlates of multisensory cue integration in macaque MSTd,A,"1(combined cues, all neurons)",MSTd,1,,,,72,0.539(SEM=0.009),,,,0.203(0.105;0.302),0.506(0.483;0.528),single electrode,3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,2000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,24.626,0.9,27.36222222,Neuron-Anti-neuron,Saccades,Fixed for the whole period,whole visual field,,"(5, 0)","(-5, 0)",,,,,,
,,A,"2(combined cues, congruent neurons)",MSTd,0,,,,25,0.585(SEM=0.015),,,,,,single electrode,moving platform/3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,2000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,4.350,0.9,4.833333333,Neuron-Anti-neuron,Saccades,Fixed for the whole period,whole visual field,,"(5, 0)","(-5, 0)",,,,,,
