 Papers,Title,Monkey,Epoch,Brain areas,Main epoch,Note main epoch,Sensitive neurons,Layers,Number of neurons (number of sessions),"Grand CP, random seeds","CP (zero signal), random seeds","Grand CP, frozen seeds","CP (zero signal), frozen seeds",CP-P/N ratio slope,CP-P/N ratio intercept,Recording technique,Description of the stimulus,Task parameter,Difficulty parameter,Stimulus size tailored to neurons' RF,Ratio of stimulus size to RF size ,Non task parameters of stimulus tailored to neurons,Task parameters of stimulus tailored to neurons,How neurons' preferences were estimated,Stimulus duration(ms),Time window for CP calc (ms),Stimulus type,Task type,Reaction Time (RT) Task,"Bias in Sensitivities (proportion of neurons with d'>0, + is for Target 1) ",Perceptual learning exposure duration before data collection,Perceptual learning exposure duration during data collection,Lapse rate,Psych. kernel alignment with the task,Neurometric threshold,Psychometric threshold,N/P ratio,Neurometric threshold method,Choice made by,Predictibility of choice targets,Location of stimulus (deg visual angle),Symmetry of task sensitivity of neurons,Location of target 1(deg visual angle),Location of target 2(deg visual angle),CP-sensitivity: variable for sensitivity,CP-sensitivity: how measured,CP-sensitivity: result (pvalue),,,
,,2,2(random dot),MT,1,,,,74,0.516 (SEM =0.005),,,,0.023 (-0.003; 0.049),0.501 (SEM= 0.002),Linear probe,random dots,direction of movement,coherence,2 (population of neurons),,2 (population of neurons),2 (population of neurons),from separate sessions,67,67,1 (not bi-stable),2 (coarse discrimination),No,,,,,,16.91,11,1.537482,Neuron-Anti-neuron,Saccades,varied session by session,,,based on neuron pref,based on neuron pref,,,,,,
,,2,3(drifting grating),MT,1,,,,51,0.508 (SEM = 0.005),,,,0.011 (-0.013; 0.035),0.5 (SEM= 0.002),Linear probe,drifting grating,direction of movement,contrast,2 (population of neurons),,2 (population of neurons),2 (population of neurons),from separate sessions,67,67,1 (not bi-stable),2 (coarse discrimination),No,,,,,,17.97,13,1.382468,Neuron-Anti-neuron,Saccades,varied session by session,,,based on neuron pref,based on neuron pref,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nienborg & Cumming (2006) (partly reanalysed in Nienborg & Cumming (2007)),"Macaque V2 Neurons, But Not V1 Neurons, Show Choice-Related Activity",two combined,1(all neurons),V1,1,no per monkey data for V1,0,,74,0.51(SEM = 0.009),0.51,,,,,single electrode,random dot stereogram,near/far disparity,coherence,1 (individual neuron RF),3.6,3 (not tailored),1 (individual neuron),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,>12,,,,50(SEM=26,31(SEM=11,2.135462479,Neuron-Anti-neuron*sqrt(2),Saccades,Fixed for the whole period,,,"(0, 3)","(0,-3)",,,,,,
,,two combined,1(all neurons),V2,2,"becouse data for Stimulus size and NP, and Brain area to brain area and CP-P/N slopes",0,,69,0.56(SEM = 0.013),0.56,,,0.18 (0.11;0.26),,single electrode,random dot stereogram,near/far disparity,coherence,1 (individual neuron RF),2.2,3 (not tailored),1 (individual neuron),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,>12,,,,40(SEM=19,34(SEM=11,1.48492424,Neuron-Anti-neuron*sqrt(2),Saccades,Fixed for the whole period,,,"(0, 3)","(0,-3)",threshold,Spearman correlation,0.003(p = 0.98),,,
,,monkey 1,1(all neurons),V2,1,,,,37,0.5524324324,,,,,,single electrode,random dot stereogram,near/far disparity,coherence,1 (individual neuron RF),,3 (not tailored),1 (individual neuron),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,>12,,,,,,,,Saccades,Fixed for the whole period,,,"(0, 3)","(0,-3)",threshold,Spearman correlation,-0.38(p = 0.0027),,,
,,monkey 2,1(all neurons),V2,1,,,,34,0.585,,,,,,single electrode,random dot stereogram,near/far disparity,coherence,1 (individual neuron RF),,3 (not tailored),1 (individual neuron),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,>12,,,,,,,,Saccades,Fixed for the whole period,,,"(0, 3)","(0,-3)",threshold,Spearman correlation,-0.14 (p = 0.36),,,
,,monkey 1,3(near neurons),V2,0,,,,20,0.58(p<0.001),,,,,,single electrode,random dot stereogram,near/far disparity,coherence,1 (individual neuron RF),,3 (not tailored),1 (individual neuron),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,>12,,,,,,,,Saccades,Fixed for the whole period,,,"(0, 3)","(0,-3)",,,,,,
,,monkey 1,4(far neurons),V2,0,,,,17,0.52(p = 0.17),,,,,,single electrode,random dot stereogram,near/far disparity,coherence,1 (individual neuron RF),,3 (not tailored),1 (individual neuron),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,>12,,,,,,,,Saccades,Fixed for the whole period,,,"(0, 3)","(0,-3)",,,,,,
,,monkey 2,3(near neurons),V2,0,,,,17,0.67(p<0.001),,,,,,single electrode,random dot stereogram,near/far disparity,coherence,1 (individual neuron RF),,3 (not tailored),1 (individual neuron),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,>12,,,,,,,,Saccades,Fixed for the whole period,,,"(0, 3)","(0,-3)",,,,,,
,,monkey 2,4(far neurons),V2,0,,,,17,0.5(p=0.98),,,,,,single electrode,random dot stereogram,near/far disparity,coherence,1 (individual neuron RF),,3 (not tailored),1 (individual neuron),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,>12,,,,,,,,Saccades,Fixed for the whole period,,,"(0, 3)","(0,-3)",,,,,,
,,two combined,2(restricted selectivity),V1,3,"we may want this, but no per monkey data for restricted selectivity, 3 - because additional dta for NP",1,,33,0.51(p > 0.05),,,,,,single electrode,random dot stereogram,near/far disparity,coherence,1 (individual neuron RF),3.6,3 (not tailored),1 (individual neuron),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,>12,,,,,,1.414213562,Neuron-Anti-neuron*sqrt(2),Saccades,Fixed for the whole period,,,"(0, 3)","(0,-3)",,,,,,
,,two combined,2(restricted selectivity),V2,3,"we may want this, but no per monkey data for restricted selectivity, 3 - because additional dta for NP",1,,54,0.58(p < 0.001),,,,,,single electrode,random dot stereogram,near/far disparity,coherence,1 (individual neuron RF),2.2,3 (not tailored),1 (individual neuron),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,>12,,,,,,1.400071427,Neuron-Anti-neuron*sqrt(2),Saccades,Fixed for the whole period,,,"(0, 3)","(0,-3)",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nienborg & Cumming(2007),Psychophysically measured task strategy for disparity discrimination is reflected in V2 neurons,monkey 2,1(all neurons),V2,1,,,,36,0.63 (p<0.001),,,,,,single electrode,random dot stereogram,near/far disparity,disparity,,,3 (not tailored),1 (individual neuron),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,>18,,,,,,,,Saccades,Fixed for the whole period,4.2,,,,,,,,,
,,monkey 2,2(near neurons),V2,0,,,,18,0.65(p<0.001),,,,,,single electrode,random dot stereogram,near/far disparity,disparity,,,3 (not tailored),1 (individual neuron),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,>18,,,,,,,,Saccades,Fixed for the whole period,4.2,,,,,,,,,
,,monkey 2,3(far neurons),V2,0,,,,18,0.61(p<0.001),,,,,,single electrode,random dot stereogram,near/far disparity,disparity,,,3 (not tailored),1 (individual neuron),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,>18,,,,,,,,Saccades,Fixed for the whole period,4.2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nienborg & Cumming (2009),Decision-related activity in sensory neurons reflects more than a neuron’s causal effect,two combined,1(all neurons),V2,1,,,,76,,0.61,,0.57,,,single electrode,random dot stereogram,near/far disparity,coherence,1 (individual neuron RF),,3 (not tailored),1 (individual neuron),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,Fixed for the whole period,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nienborg & Cumming (2014) ,Decision-Related Activity in Sensory Neurons May Depend on the Columnar Architecture of Cerebral Cortex',Monkey 1,1(neurons with d' > 1.2),V1,1,,,,31,,0.54 (p = 0.001),,,,,single electrode,band-passed grating,orientation,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,2000,1700,1 (not bi-stable),2 (coarse discrimination),No,not applicable,,,< 2,,14.6,10.9,1.339449541,,Saccades,varied session by session,5.3,,"(0,3) or (3,0)","(0,-3) or (-3,0)",threshold,Spearman correlation,-0.30 (p = 0.14),,,
,,Monkey 2,1(neurons with d' > 1.2),V1,1,,,,51,,0.53(p = 0.01),,,,,Linear probe,band-passed grating,orientation,coherence,2 (population of neurons),,2 (population of neurons),2 (population of neurons),from separate sessions,2000,1700,1 (not bi-stable),2 (coarse discrimination),No,not applicable,,,< 2,,10.3,9.5,1.084210526,,Saccades,varied session by session,5.3,,"(0,3) or (3,0)","(0,-3) or (-3,0)",threshold,Spearman correlation,-0.42 (p = 0.0049),,,
,,Monkey 2,"2(linear probe, neurons with d' > 1.2)",V1,0,,,,36,,0.53(p = 0.07),,,,,Linear probe,band-passed grating,orientation,coherence,2 (population of neurons),,2 (population of neurons),2 (population of neurons),from separate sessions,2000,1700,1 (not bi-stable),2 (coarse discrimination),No,not applicable,,,< 2,,10,9.5,1.052631579,,Saccades,varied session by session,5.3,,"(0,3) or (3,0)","(0,-3) or (-3,0)",,,,,,
,,Monkey 2,"3(single electrode, neurons with d' > 1.2)",V1,0,,,,15,,0.53(p = 0.05),,,,,single electrode,band-passed grating,orientation,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,2000,1700,1 (not bi-stable),2 (coarse discrimination),No,not applicable,,,< 2,,11.1,9.5,1.168421053,,Saccades,varied session by session,5.3,,"(0,3) or (3,0)","(0,-3) or (-3,0)",,,,,,
,,two combined,1(neurons with d' > 1.2),V1,0,,,,82,,0.54(p < 0.001 ),,0.54(p = 0.01),,,single electrode and linear probe,band-passed grating,orientation,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,2000,1700,1 (not bi-stable),2 (coarse discrimination),No,not applicable,,,< 2,,,,1.2,,Saccades,varied session by session,5.3,,"(0,3) or (3,0)","(0,-3) or (-3,0)",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clery et al. (2017),Decision-Related Activity in Macaque V2 for Fine Disparity Discrimination Is Not Compatible with Optimal Linear Readout,Monkey 1,1(all neurons),V2,1,,,,37,,0.58(p<0.001),,,,,single electrode,100% coherent random dot stereogram,near/far disparity,disparity,1 (individual neuron RF),,3 (not tailored),1 (individual neuron),from separate sessions,2000,2000,1 (not bi-stable),1 (fine discrimination),No,,,,,,0.0862670273,0.044(SEM =  0.045),1.725340546,Neuron-Anti-neuron*sqrt(2),Saccades,Fixed for the whole period,4.86,,,,threshold,Spearman correlation,,,,
,,Monkey 2,1(all neurons),V2,1,,,,26,,0.58(p = 0.002),,,,,single electrode,100% coherent random dot stereogram,near/far disparity,disparity,1 (individual neuron RF),,3 (not tailored),1 (individual neuron),from separate sessions,2000,2000,1 (not bi-stable),1 (fine discrimination),No,,,,,,0.06081118318,0.022(SEM = 0.036),3.111269837,Neuron-Anti-neuron*sqrt(2),Saccades,Fixed for the whole period,4.86,,,,threshold,Spearman correlation,,,,
,,two combined,1(all neurons),V2,4,"CP-d', and CP-P/N slope",,,63,,0.58 (p < 0.000001),,,0.061 (0.016;0.167),,single electrode,100% coherent random dot stereogram,near/far disparity,disparity,1 (individual neuron RF),,3 (not tailored),1 (individual neuron),from separate sessions,2000,2000,1 (not bi-stable),1 (fine discrimination),No,,,,,,0.07212489168,,2.192031022,Neuron-Anti-neuron*sqrt(2),Saccades,Fixed for the whole period,,,,,threshold,Spearman correlation,0.06 (p = 0.67),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinn et al. (2021),Decision-related feedback in visual cortex lacks spatial selectivity,two combined,1(relevant stimulus),V2,1,,,,703,,,,0.55(p<0.001),,,Linear probe,random dot stereogram,near/far disparity,coherence,2 (population of neurons),,3 (not tailored),2 (population of neurons),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,totally unpredictable ,6.3,,"(±2,±3.5)","(±2,±3.5)",,,,,,
,,two combined,1(relevant stimulus),V3/V3a,1,,,,486,,,,0.54(p<0.001),,,Linear probe,random dot stereogram,near/far disparity,coherence,2 (population of neurons),,3 (not tailored),2 (population of neurons),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,totally unpredictable ,6.3,,"(±2,±3.5)","(±2,±3.5)",,,,,,
,,A,2(irrelevant stimulus),V2,1,,,,543,,,,0.541(p<0.001),,,Linear probe,random dot stereogram,near/far disparity,coherence,2 (population of neurons),,3 (not tailored),2 (population of neurons),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,totally unpredictable ,,,"(±2,±3.5)","(±2,±3.5)",,,,,,
,,A,2(irrelevant stimulus),V3/V3a,1,,,,315,,,,0.545(p<0.001),,,Linear probe,random dot stereogram,near/far disparity,coherence,2 (population of neurons),,3 (not tailored),2 (population of neurons),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,totally unpredictable ,,,"(±2,±3.5)","(±2,±3.5)",,,,,,
,,B,2(irrelevant stimulus),V2,1,,,,160,,,,0.514(p=0.05),,,Linear probe,random dot stereogram,near/far disparity,coherence,2 (population of neurons),,3 (not tailored),2 (population of neurons),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,totally unpredictable ,,,"(±2,±3.5)","(±2,±3.5)",,,,,,
,,B,2(irrelevant stimulus),V3/V3a,1,,,,171,,,,0.509(p=0.07),,,Linear probe,random dot stereogram,near/far disparity,coherence,2 (population of neurons),,3 (not tailored),2 (population of neurons),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,totally unpredictable ,,,"(±2,±3.5)","(±2,±3.5)",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goris et al. (2017),Dissociation of Choice Formation and Choice-Correlated Activity in Macaque Visual Cortex, monkey 1 (R),1(all neurons),V1,1,,,,66,,,0.47,0.46(p = 0.02),-0.13 (-0.24;-0.013),0.53 (0.46;0.6),single electrode,drifting grating,orientation ,orientation,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,500,500,1 (not bi-stable),1 (fine discrimination),No,,10,6,2.0%,,,,2.05,Neuron-Anti-neuron*sqrt(2),Saccades,Fixed for the whole period,5,,"(-3.5,0)","(3.5,0)",sensitivity,Spearman correlation,-0.14(p>0.05),,,
,, monkey 1 (R),1(all neurons),V2,1,,,,48,,,0.46,0.44 (p < 0.001),-0.093 (-0.22;0.034),0.49 (0.41;0.57),single electrode,drifting grating,orientation ,orientation,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,500,500,1 (not bi-stable),1 (fine discrimination),No,,10,6,4.1%,,,,2.49,Neuron-Anti-neuron*sqrt(2),Saccades,Fixed for the whole period,5,,"(-3.5,0)","(3.5,0)",sensitivity,Spearman correlation,-0.29(p < 0.05),,,
,, monkey 2 (PF),1(all neurons),V1,1,,,,88,,,0.49,0.50(p = 0.9),-0.021 (-0.14;0.097),0.51 (0.44;0.57),single electrode,drifting grating,orientation ,orientation,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,500,500,1 (not bi-stable),1 (fine discrimination),No,,7,10,3.5%,,,,2.29,Neuron-Anti-neuron*sqrt(2),Saccades,Fixed for the whole period,3.8,,"(-3.5,0)","(3.5,0)",,,,,,
